BSN,NAME,PLZ,Berliner Adresse,Telefonnummer,Fax,eMail-Adresse,Internetadresse,Traeger,Bezirk,Schultyp,latitude,longitude,full_time_school,Aerobic,Afrikanisch Trommeln,Aikido,Akkordeon,Akrobatik,Altgriechisch,Aquarellmalerei,Aquarianer,Arabisch,Archäologie,Artistik,Arts & Crafts,Astronomie,Astrophysik,Atelier,Ausdauerlauf,Ausflüge,Autobiographische Geschichten,Backen,Badminton,Ballett,Ballspiele,Ballsport,Ballsport und Badminton,Band,Basketball,Basteln,Basteln mit Leder,Bauchtanz,Beratung in Ausbildungsfragen,Bewegung,Bewegung und Musik,Bewegungsspiele,Bibliothek,Big Band,Bigband,Bildbearbeitung,Bildende Kunst,Bildhauerei,Billard,Biologie,Blasorchester,Blechbläser,Blockflöte,Blockflötenensemble,Blockföte,Blumenbinden,Blumenstecken,Bläser,Bläser-AG,Bläserensemble,Bläsergruppe,Bläserklasse,Bogenschießen,Bogensport,Boxen,Brandschutz,Break-Dance,Breakdance,Brettspiele,Brötchen backen,Buchbinden,Buchillustrationen,Buchwerkstatt,Buddy-Projekt,Bücher,Büchercafé,Bücherei,Bühnentechnik,Cafeteria,Cambridge Proficiency,Cambridge Test,Capoeira,Cello,Chanson,Chemie,Chemie-Kids,Chinesisch,Chor,Cine Español,Combo,Comedy,Comic zeichnen,Computer,Computer und Internet,Computer-Präsentationen,Computerkurs,Computerkurse,Computerspiele,Computertechnik,DELF,DELF-Diplom,Dance for Kids,Darstellendes Spiel,Dart,Debating-Club,Debattierclub,Debattieren,Debattierklub,Design,Deutsch,Diabolo,Digitale Animation,Digitale Fotografie,Drachenboot,Drucken,Drucktechniken,Druckwerkstatt,Einrad,Einradfahren,Eishockey,Elektronik,Elektronische Musik,Eltern-Lehrer-Chor,Embossing,Encaustic,Energie,Energieeinsparung,Englisch,Englisch-Theater,Englische Kinderliteratur,English,English Literature,Ensemble,Entspannung,Entspannung im Wasser,Erinnerungskultur,Erkunden anderer Länder,Ernährung,Ersthelfer,Event-AG,Events,Experimente,Fahrrad,Fahrradreparaturen,Fahrradwerkstatt,Farbtanz,Fechten,Federball,Film,Film und Fotografie,Film-Musik,Filmabende,Filmclub,Filmschnitt,Filzen,Fitness,Fliesengestaltung,Floristik,Flöte,Flöten,Forschung,Foto,Foto und Film,Fotografie,Frankreich,Französisch,Französisch Kochen,Freilandbiologie,Frisbee,Frisur und Kosmetik,Fußball,Fußball oder Kraftsport,Fußball und Spiele,Gardening,Garten,Gartenarbeit,Gartenbau,Geologie,Geräteturnen,Gesang,Geschichte,Geschichten schreiben,Geschichten und Lieder,Geschichtswerkstatt,Gesellschaftsspiele,Gestalten,Gestaltung,Gesunde Ernährung,Gitarre,Gitarren-AG,Gitarren-Ensemble,Gitarrenunterricht,Gleitschirmfliegen,Golf,Graffiti,Griechisch,Griechisches Theater,Gymnastik,HTML,Handarbeit,Handarbeiten,Handball,Handwerk,Handwerken,Hardware,Hausaufgaben,Hausaufgabenbetreuung,Hausmusik,Hebräisch,Heilpädagogisches Malen,HipHop,Hochbegabtenförderung,Hockey,Holzarbeiten,Holzbearbeitung,Holzbläser-Ensemble,Holzwerkstatt,Homepage,Honig,Horn-AG,Hunde,Hörspiel,Hörspiele,IT,Imkerei,Improvisationen,Informatik,Informationstechnik,Inline Skating,Inlineskate-Hockey,Inlineskaten,Instrumental,Instrumental-AG,Instrumentalkreis,Instrumentalunterricht,Instrumente,Instrumentenfindung,Internet,Italienisch,Italinenisch,Jahrbuch,Japanisch,Jazz,Jazz Band,Jazz Dance,Jazzband,Jonglieren,Judo,Jugend forscht,Jugendliteratur,Juggersport,Junge Historiker,Jungen-AG,Jungenclub,Jungengruppe,Kampfsport,Kaninchen und Nager,Kanu,Karaoke,Karate,Karinette,Keramik,Keyboard,Kinder in anderen Ländern,Kinder-Mutmach-Gruppe,Kinderatelier,Kino,Klarinetten-AG,Klavier,Klettern,Klima,Knobelkiste,Knobeln,Kochen,Kochen und Backen,Kochkurse,Konfliktlotse,Konfliktlotsen,Konsum-Global,Kreativ-AG,Kreativkurse,Kräuterhexe,Kung Fu,Kunst,Kunst Experten,Kunst und Fremdsprachen,Kunst-Werkstatt,Kunstbau,Kurzfilm,LEGO-Mindstorms,Lacrosse,Latein,Laufen,Lebenskunde,Lecturas,Lego,Lego City,Lego-League,Leichtathletik,Lernwerkstatt,Lese Experten,Leseclub,Lesen,Leseprofis,Leseratten,Liftband,Line Dance,Linedance,Literatur,Literaturwerkstatt,Lyrikkreis,Malen,Malen und Zeichnen,Malerei,Malkurse,Manga,Maskenbau,Mathe,Mathe Plus,Mathematik,Mathematik-Literatur,Mathematikwettbewerb Ideefix,Mediation,Mediatoren,Medien,Medien und Kommunikation,Medien- und Bildgestaltung,Medienecken,Mediengestaltung,Meditation,Metall,Metrische Räume und Anwendungen,Mini-Marathon,Mode,Mode und Design,Modedesign,Model United Nations,Modellbau,Modellbau und Basteln,Modellieren,Modern Dance,Moderne Spiele,Mofa,Mofa-Fahren mit Verstand,Mofa-Kurs,Mofakurs,Multimedia,Musical,Musik,Musiktheater,Musizieren,Mädchen-AG,Mädchenclub,Mädchengruppe,Märchen,Märchenprojekte,Mäusepflege,NAWI-Experimente,Nachhilfe,Nadel und Faden,Natur,Natur und Technik,Naturforscher,Naturkunde,Naturschutz-Jugend,Naturwissenschaft,Naturwissenschaften,Netzwerke,Neugriechisch,Norwegisch,Nähen,Oboe,Online-Werkstatt,Orchester,Orgel,Orientalischer Tanz,PC,PC-comp@ss,Pantomime,Papier,Papier- und Buchwerkstatt,Percussion,Perlenarbeiten,Pflanzenkunde,Philosophie,Physik,Physik Fachhelfer,Physik und Computer,Physik und Jugend forscht,Plastisches Gestalten,Podcast,Politik,Politische Bildung,Polnisch,Popband & Jazz-Combo,Popchor,Praktikumsvorbereitung,Psychologie,Puppenspiel,Puppentheater,Querflöten-AG,Querflötenensemble,Radfahren,Radio,Rap,Reise zur Stille,Reiten,Religion,Religion und Philosophie,Rhythmik,Rhythmus,Ringen,Roberta,Roberta (Roboterprojekt),Robocup,Roboter,Robotics,Robotik,Rockband,Rollstuhlsport,Rudern,Rugby,Russisch,Safer Skating,Sambaensemble,Saxofon,Saxophon,Schach,Schauspiel,Schlagzeug,Schlaue Algorithmen für knifflige Probleme,Schlaufuchs,Schmuck,Schmökerstunde,Schreibwerkstatt,Schulband,Schulcafé,Schuldruckerei,Schule ohne Rassismus - Schule mit Courage,Schule ohne Rassismus- Schule mit Courage,Schulgarten,Schulgeschichte,Schulhausgestaltung,Schulhof-AG,Schulhofgestaltung,Schulhomepage,Schulradio,Schulsanitäter,Schulsanitätsdienst,Schulteich,Schwimmen,Schülerbücherei,Schülerclub,Schülerfirma,Schülerradio,Schülerzeitung,Segelflug,Segeln,Seidenmalerei,Selbstverteidigung,Server- und Webprogrammierung,Siebdruck,Singen,Singen-Tanzen-Spielen,Singespatzen,Skat,Skateboard,Skaten,Skating,Skifahrten,Skilanglauf,Solarboote,Solarenergie,Sozial-AG,Spanisch,Spiel- und Bewegungslieder,Spiele,Spiele und Bewegung,Spielschwimmen,Sport,Sport und Spiel,Sportangebote,Sportspiele,Spotspiele,Sprachen,Sprachförderung,Sprachkundigenprüfung,Stadtsafari,Steelband,Sternstunden,Sticken,Streetdance,Streicher,Streicher-AG,Streicher-Ensemble,Streichinstrumente,Streitschlichter,Stressworkout,Taekwondo,Tai Chi Kineo,Tanz,Tanzen,Tanztheater,Tanztherapie,Tastaturlehrgang,Tauchen,Technik,Tennis,Teppichknüpfen,Textil,Textiles Gestalten,Textilwerkstatt,Theater,Theater und Zirkus,Theatergruppe,Theaterspiel und Kulissenbau,Theatertechnik,Tiere,Tierpflege,Tischtennis,Tonstudio,Tontechnik,Training für die Physikolympiade,Trampolin,Triathlon,Trickfilm,Trommeln,Turnen,Turnen und Tanz,Töpfern,Türkisch,UNESCO,Umwelt,Umweltdetektive,Ungarisch,Veranstaltungsorganisation,Veranstaltungstechnik,Verkehrsgarten,Video,Videoschnitt,Violinenunterricht,Volleyball,Vorbereitung Cambridge-Sprachdiplom,Vorbereitung DELF-Sprachdiplom,Vorbereitung auf den MSA,Vororchester,Walderkundung,Waldküche,Wandmalerei,Waveboard,Website,Werken,Werkstatt,Windsurfen,Wirtschaft,Wissenschaft,Wortspiele,Writing,Yoga,Zauberei,Zaubern,Zeitung,Zirkus,Zirkuskünste,Zirkusprojekte,Zoo,Zweifelderball,japanisch,kreatives Gestalten,kreatives Schreiben,künstlerisches Gestalten
02P05,Fachschulen der Stiftung SPI Berlin,10963,Hallesches Ufer 32-38,25937390,259373950,fachschulen@stiftung-spi.de,http://www.spi-fachschulen.de,privat,Friedrichshain-Kreuzberg,Private Schule,52.4992325,13.382413399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02P07,Campus Berufsbildung e.V.,10969,Friedrichstr. 231,25931877,25931879,tbfs@campus-bb.de,http://www.campus-bb.de,privat,Friedrichshain-Kreuzberg,Private Schule,52.5029601,13.3907772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02P09,Freie Schule Kreuzberg (Grundschule),10997,Wrangelstr. 128,74073334,74073335,kontakt@freieschulekreuzberg.de,http://freieschulekreuzberg.de,privat,Friedrichshain-Kreuzberg,Private Schule,52.50408035,13.429105187606828,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02P10,Vitanas Akademie gGmbH,10243,Warschauer Str. 39-40,5498860,54988610,akademie@vitanas.de,http://www.vitanas.de,privat,Friedrichshain-Kreuzberg,Private Schule,52.5045831,13.4480035,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02P11,Berlin Bilingual School (Grundschule),10249,Weinstr. 1,24628089,27582913,info@berlin-bilingual.de,http://berlin-bilingual-school.de,privat,Friedrichshain-Kreuzberg,Private Schule,52.52507615,13.425032421754407,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02P12,KreativitätsGrundschule Berlin Friedrichshain,10243,Strausberger Str. 38,29035117,29039449,schule-fh@krea-schulzentrum.de,http://www.krea-schulzentrum.de,privat,Friedrichshain-Kreuzberg,Private Schule,52.520973600000005,13.4322586,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
02P13,Netzwerk-Schule (Gemeinschaftsschule),10243,Marchlewskistr. 40,40393340,25769700,schule@netzwerkspielkultur.de,http://www.netzwerkspielkultur.de/schule,privat,Friedrichshain-Kreuzberg,Gemeinschaftsschule,52.513309400000004,13.443944800416846,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02P16,BWK Berufsfachschule für Altenpflege,10997,Cuvrystr. 34,6179290,61792937,kontakt@bwk-berlin.de,http://www.bwk-berlin.de,privat,Friedrichshain-Kreuzberg,Private Schule,52.4967019,13.4432098,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02P19,FORUM Berufsbildung e.V.,10969,Charlottenstr. 2,2590080,25900810,info@forum-berufsbildung.de,http://www.forum-berufsbildung.de,privat,Friedrichshain-Kreuzberg,Private Schule,52.505745700000006,13.393114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02P20,WBS Training Schulen gGmbH,10247,Voigtstr. 3,24326902,34727919,schulen.berlin@wbs-schulen.de,http://www.wbs-schulen.de,privat,Friedrichshain-Kreuzberg,Private Schule,52.51538370000001,13.468151800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02P22,Pro Inklusio - Fachschule für Sozialpädagogik,10997,Muskauer Str. 53,20078010,20078465,proinklusio@diebildungspartner.de,http://www.procedo-berlin.com,privat,Friedrichshain-Kreuzberg,Private Schule,52.50070970000001,13.432934,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02P23,Concept Berufliche Schulen gGmbH Berlin,10245,Revaler Str. 100,48485850,48485868,info@concept-berlin.de,http://www.concept-berlin.de,privat,Friedrichshain-Kreuzberg,Private Schule,52.50844920000001,13.4500911,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02P25,Evangelische Schule Berlin Friedrichshain (Grundschule),10249,Petersburger Platz 5,32296700,32297730,info@ev-schule-friedrichshain.de,http://www.ev-schule-friedrichshain.de,privat,Friedrichshain-Kreuzberg,Private Schule,52.5211264,13.4498285,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
